ID;Vereinsname;Stadionname;n. B.;ö. L.;Anmerkung
32;Westfalia Rhynern;Kümpel + Hellmeister Arena im Westfalia-Sportpark;51,6371;7,8684;möglicher Absteiger
33;FC Schalke 04 II;Parkstadion;51,5595;7,0674;
34;VfL Bochum II;Mondpalast-Arena;51,5219;7,1715;
35;Rot-Weiß Oberhausen;Stadion Niederrhein;51,4936;6,8545;hier beginnt Regio West
36;Borussia Dortmund II;Stadion Rote Erde;51,4928;7,4542;
37;SG Wattenscheid 09;Lohrheidestadion;51,4858;7,1186;möglicher Absteiger
38;Hallescher FC;Leuna-Chemie-Stadion;51,4654;11,9622;
39;BSG Chemie Leipzig;Alfred-Kunze-Sportpark;51,3582;12,3077;
40;1. FC Lokomotive Leipzig;Bruno-Plache-Stadion;51,3029;12,4193;möglicher Aufsteiger
41;KSV Hessen Kassel;Auestadion;51,2987;9,4840;
42;Borussia Mönchengladbach II;Grenzlandstadion;51,1753;6,4497;
43;VfB 03 Hilden;Sportanlage Hoffeldstraße;51,1736;6,9345;möglicher Absteiger
44;SV Bergisch Gladbach;BELKAW-Arena;50,9937;7,1200;möglicher Absteiger
45;FC Rot-Weiß Erfurt;Steigerwaldstadion;50,9601;11,0373;
46;FC Carl Zeiss Jena;ad hoc arena im Ernst-Abbe-Sportfeld;50,9159;11,5829;
47;1. FC Köln II;Franz-Kremer-Stadion;50,9083;6,9057;
48;Sportfreunde Siegen;Leimbachstadion;50,8527;8,0261;
49;Chemnitzer FC;eins-Stadion an der Gellertstraße;50,8421;12,9456;
50;TSV Steinbach Haiger;Sportzentrum Haarwasen Haiger;50,7411;8,1912;
51;Bonner SC;Sportpark Nord;50,7402;7,0846;
52;FSV Zwickau;GGZ-Arena;50,7285;12,5194;
53;FC Erzgebirge Aue;Erzgebirgsstadion;50,5977;12,7113;hier beginnt Regio Nordost
54;SG Barockstadt Fulda-Lehnerz;Sportpark Johannisau;50,5401;9,6653;
55;TSV Aubstadt;NGN-Arena;50,3296;10,4324;
56;FSV Frankfurt;PSD Bank Arena;50,1281;8,7232;
57;1. FC Schweinfurt;Riedel Bau Arena;50,0513;10,2030;
58;Eintracht Frankfurt II;Maxworx-Sportpark;50,0063;8,6819;möglicher Absteiger
59;1. FSV Mainz 05 II;Bruchwegstadion;50,0009;8,2457;
60;Würzburger Kickers;Akon Arena;49,7675;9,9322;hier beginnt Regio Bayern, möglicher Aufsteiger
61;SC Eltersdorf;Sportanlage Langenaul;49,5564;10,9948;
62;VfR Mannheim;Rhein-Neckar-Stadion;49,4787;8,5005;möglicher Absteiger, eventuell andere Vereine FC Eddersheim / FK Pirmasens / 1. FC Kaiserslautern II
63;1. FC Nürnberg II;Max-Morlock-Platz;49,4352;11,1312;
64;1. FC Kaiserslautern II;Fritz-Walter-Stadion Platz 4;49,4346;7,7801;möglicher Absteiger
65;SV Sandhausen;Hardtwaldstadion;49,3322;8,6484;
66;FC 08 Homburg;Waldstadion Homburg;49,3161;7,3544;
67;FC-Astoria Walldorf;Dietmar-Hopp-Sportpark;49,3152;8,6422;
68;SpVgg Ansbach 09;Xaver-Bertsch-Sportpark;49,3059;10,5578;
69;SpVgg Greuther Fürth II;M. A. R Arena;49,2668;11,2991;möglicher Absteiger, eventuell andere Vereine: Viktoria Aschaffenburg / ASV Cham
70;DJK Vilzing;Manfred-Zollner-Stadion;49,1757;12,6690;
71;SGV Freiberg;Wasenstadion;48,9401;9,1981;
72;VfB Eichstätt;Liqui-Moly-Stadion;48,8878;11,1923;
73;VfR Aalen;Centus Arena;48,8405;10,0725;möglicher Absteiger
74;Stuttgarter Kickers;Gazi-Stadion auf der Waldau;48,7540;9,1883;
75;SSV Ulm 1846;Donaustadion;48,4045;10,0095;hier beginnt Regio Südwest
76;TSV Schwaben Augsburg;Ernst-Lehner-Stadion Rosenau-Stadion;48,3431;10,9088;
77;TSV Buchbach;SMR-Arena;48,3145;12,2756;
78;FV Illertissen;Vöhlinstadion;48,2180;10,0923;
79;Wacker Burghausen;Wacker-Arena;48,1789;12,8347;
80;FC Bayern München II;Grünwalder Stadion;48,1110;11,5745;
81;SpVgg Unterhaching;Sportpark Unterhaching;48,0738;11,6158;
82;TSV Landsberg;3C Sportpark Landsberg;48,0636;10,8484;
83;SC Freiburg II;Dreisamstadion;47,9889;7,8929;
84;FC Memmingen;Memminger Arena;47,9792;10,1651;möglicher Absteiger
